id,phone,company_name,industry,annual_revenue,account_number_external_id,number_of_locations,number_of_employees,sla,sla_serial_number
30,547-342-4101,"FleetCor Technologies, Inc.",Business Services,28156615,a5e46b76-7742-41c2-893e-c7594cb415de,9,893,Silver,122487226
31,920-978-0640,"NeoGenomics, Inc.",Precision Instruments,49876754,e8dd1409-931d-47a3-8b5b-5faab3e060a2,2,486,Bronze,231271404
32,777-329-2320,Huron Consulting Group Inc.,Professional Services,60028006,e951302f-1dae-4160-92a7-7cc8d3d8da6b,20,55,Silver,064100852
33,943-493-3180,Kansas City Southern,Railroads,67594507,f3a51ad8-53d2-4ed2-8a3e-c331352ebcc7,20,516,Silver,111924392
34,291-552-9551,"Validus Holdings, Ltd.",n/a,17744162,e7d8e171-1fb3-49d3-a407-faf4807a5495,3,75,Gold,092901175
35,157-238-3261,Diana Shipping inc.,Marine Transportation,29975055,44989d7c-eb47-41bd-ab1e-290d85fd98bb,19,537,Silver,111908758
36,323-997-4046,Cerecor Inc.,Major Pharmaceuticals,28395458,fce3e7d2-09b2-4867-abd8-7a2aeec91f77,10,963,Bronze,074914274
37,146-354-5212,Education Realty Trust Inc.,Real Estate Investment Trusts,4120240,8b9b50eb-3040-4cd8-8164-9d082ce62a68,20,946,Platinum,091108539
38,651-299-9899,"CytomX Therapeutics, Inc.",Major Pharmaceuticals,81829643,53bcdf8d-f8e3-43d3-9bef-a60f91f6f7f0,3,202,Gold,081917345
39,876-616-3917,Monotype Imaging Holdings Inc.,EDP Services,42062542,378837ed-714b-4871-a81a-aaa4f99b45c9,14,979,Platinum,113104178
40,491-964-2419,Moog Inc.,n/a,79232612,7460d2da-49b4-4dde-a704-20594c001ca9,7,713,Bronze,081504693
41,315-515-1190,Kadant Inc,Industrial Machinery/Components,56692970,d236d178-cfb8-4ce3-918e-c8bb9b921f1e,12,472,Platinum,053201607
42,840-891-9069,"Flexion Therapeutics, Inc.",Major Pharmaceuticals,10609311,a02c5ccd-9798-4de3-864a-7beca2e7e0ef,8,701,Gold,211179982
43,630-200-0080,"China Commercial Credit, Inc.",Major Banks,10524610,8cf1a6b1-4820-4657-9b13-3ca2a7e3d8ff,5,806,Gold,053902197
44,800-835-5278,"SharpSpring, Inc.",Computer Software: Prepackaged Software,50442371,5ada7038-2542-4a78-938a-08d9b610cb04,11,755,Gold,042102788
45,336-121-6352,Gabelli Dividend,n/a,98647563,592857a3-aba5-4b79-b215-59a8957d7dd0,3,683,Platinum,081519031
46,751-844-4998,iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,n/a,90179556,8e941340-b6f7-4aba-8e92-4e472647e866,16,979,Platinum,101003317
47,335-689-9162,Legg Mason Emerging Markets Diversified Core ETF,n/a,19098053,4af0b6df-8b38-461f-a19e-82812aab5bdd,13,153,Gold,263290220
48,305-195-5977,BLDRS Europe 100 ADR Index Fund,n/a,7786527,3b8bad52-bb02-4a74-b69d-9aa4f0ecb176,6,745,Silver,075906524
49,214-465-9252,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,n/a,7392499,b53c5bca-a3b6-4ed0-88d7-50f81a921ee1,17,324,Platinum,063106352
50,421-848-8872,"Buckle, Inc. (The)",Clothing/Shoe/Accessory Stores,36737840,ba23292e-77a9-4305-8486-7e140f5c648d,20,78,Bronze,103112507
51,216-589-9789,Novartis AG,Major Pharmaceuticals,94270444,e5fe25d9-a6fe-46c2-b11a-9b2d8389fa54,10,735,Bronze,104908082
52,428-597-6032,"Vectrus, Inc.",Diversified Commercial Services,39353506,6e34a3e0-bdeb-4dd4-aeef-e80e10686d0e,11,803,Silver,091901684
53,769-467-1302,"Varonis Systems, Inc.",Computer Software: Prepackaged Software,53249393,bce6cf2c-2d50-4b39-984c-83a2707f2bfb,17,942,Platinum,242070791
54,509-620-1509,Medley Capital Corporation,n/a,30061806,a13074e3-965e-4967-821d-c146bdb863d4,8,34,Gold,231271226
55,347-139-1836,"Shake Shack, Inc.",Restaurants,50534921,6d92fd45-4ab1-4635-a930-3ace2f3e2a05,10,238,Gold,064207771
56,275-917-9141,"NexPoint Residential Trust, Inc.",Real Estate Investment Trusts,23418529,06456691-b702-4194-ae0e-ef4b9f855591,9,721,Silver,103101372
57,992-228-8647,Avenue Income Credit Strategies Fund,n/a,9880832,d2694a7b-1269-46d9-be2f-4ebdd2b402fc,17,376,Platinum,091201232
58,176-144-3450,Hailiang Education Group Inc.,Other Consumer Services,36777144,ab9d3b9f-af2c-4305-8dd7-33e0237ac1d3,10,805,Platinum,031918527
59,418-797-0287,"First Business Financial Services, Inc.",Major Banks,6789049,aef3d7ce-9f26-4b5e-a25c-bf91921e44eb,9,147,Silver,101206800
60,967-713-6193,"Core-Mark Holding Company, Inc.",Food Distributors,33754829,6cdb5fbd-bf61-4cdf-9683-db5ef4d297d9,10,96,Gold,053201869
61,695-568-0039,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund,n/a,90980271,265bfbd8-7ffa-41c1-8bf2-dc3ebf046988,3,975,Bronze,122232222
62,115-301-0535,Abercrombie & Fitch Company,Clothing/Shoe/Accessory Stores,63243519,7ac5c2fb-9cdf-4713-8c48-c13aa456adcc,13,803,Bronze,323271493
63,156-932-0187,"Condor Hospitality Trust, Inc.",Real Estate Investment Trusts,55078177,b0aa95b9-dc74-417d-a35d-c2e75e0e5201,19,263,Bronze,091216612
64,476-379-4329,Kitov Pharmaceuticals Holdings Ltd.,Major Pharmaceuticals,98565455,074ff229-7da0-4983-8379-d67d73bdf58f,3,648,Gold,107001067
65,816-546-2823,"UFP Technologies, Inc.",Containers/Packaging,44565436,d4780eaa-3d53-40d4-b59b-990e56ffbce5,7,456,Gold,104900585
66,647-574-1076,Regional Management Corp.,Finance: Consumer Services,61561719,9ffd8a09-c4c7-4f37-9361-01817ac73009,15,887,Bronze,074914274
67,534-118-5901,"Superior Energy Services, Inc.",Oilfield Services/Equipment,30156373,b3d80ace-7541-40f6-8fcf-5192f955a899,2,807,Platinum,111912605
68,498-974-2065,ACNB Corporation,Major Banks,73245612,601d38ab-876b-4815-9346-ee0718668e22,1,871,Gold,074902082
69,190-973-9188,Sensient Technologies Corporation,Major Chemicals,48983608,4a179462-a700-464b-9c01-21e79a5ec62c,3,39,Gold,067016655
70,171-132-2217,General Dynamics Corporation,Marine Transportation,51102947,798fa455-334e-4303-851d-32eb769d8c1e,2,570,Gold,104908257
71,288-365-6301,"Charter Communications, Inc.",Television Services,22491365,187e719a-63b6-4003-8745-3e854ad51cd3,11,389,Bronze,091915133
72,320-710-8609,ARRIS International plc,Radio And Television Broadcasting And Communications Equipment,6858420,65270156-0fe0-4f1a-83a2-2aaff81e0c4c,8,271,Bronze,075906951
73,620-943-5234,SJW Group,Water Supply,98615530,08770bd9-ad24-41c0-be58-aa1409699409,15,252,Gold,264279279
74,231-254-1319,"Meridian Waste Solutions, Inc",Miscellaneous,10346186,d221a2bc-456f-4d63-9dba-260b3f74279d,15,900,Bronze,064104379
75,193-828-9509,Nuveen Quality Preferred Income Fund 2,n/a,48017768,047945e2-42eb-424e-b53b-ff6abd117f91,4,166,Gold,271992468
76,438-592-1228,"Heartland Financial USA, Inc.",Major Banks,18079374,8b82a5c9-7000-4059-9414-110ae9aa21ac,17,347,Platinum,064000185
77,280-840-7096,Vonage Holdings Corp.,Telecommunications Equipment,17172405,4141c88d-4d3d-461a-af3b-e991e35682af,4,189,Gold,101113935
78,295-782-0503,"Asia Tigers Fund, Inc. (The)",n/a,55158645,41c39eb9-b4fd-4067-acc5-e51e9d19d583,5,912,Silver,091404369
79,353-450-0191,BlackRock Municipal Income Investment Trust,n/a,56400216,532acebf-890b-4e47-b038-c73a647b4d46,7,721,Bronze,091810623
80,896-303-2576,"Maiden Holdings, Ltd.",Property-Casualty Insurers,12468760,60c49620-8b25-49bf-9763-2daaf0fc5a6a,1,209,Silver,092001512
81,154-172-6138,Och-Ziff Capital Management Group LLC,Investment Managers,33656312,693b6b33-7bce-48a0-b9a8-ba463c9dcac6,19,177,Bronze,112201218
82,213-854-5060,Vident Core US Equity ETF,n/a,56606816,2019bc0c-a04e-4498-9d9e-39aa88b3dbf3,1,722,Silver,081000210
83,187-717-2500,Public Storage,Real Estate Investment Trusts,58364642,5dec2b4a-8436-4151-8289-b3b803b41c98,11,631,Gold,083901650
84,932-134-9096,"Polar Power, Inc.",n/a,5140855,ed5fd22b-3b13-447d-b717-911f21a1786a,9,789,Bronze,061101197
85,455-190-8312,Navios Maritime Holdings Inc.,n/a,76965782,36edcfc9-e7c1-4de0-bfbf-6be5ce90ddc3,9,523,Silver,028000325
86,555-191-3330,Atlas Air Worldwide Holdings,Transportation Services,79246920,09ca34fa-d2c7-429b-8401-b37fc2f2b07c,10,726,Platinum,071121471
87,385-105-7157,Scorpio Tankers Inc.,Marine Transportation,45433841,8454ec16-8b6e-4fd3-8e9f-b0a33c42b09f,2,828,Gold,114902780
88,322-226-2602,Vanguard Russell 1000 Growth ETF,n/a,41785739,168c94d0-c5b7-4a6f-b119-41031e478f27,2,403,Platinum,121132682
89,176-784-1239,"ServisFirst Bancshares, Inc.",Major Banks,76310656,36ddc4d8-83b3-4f97-9f8b-61efc63ed79a,8,730,Bronze,281581047
90,323-914-8215,Digi International Inc.,Computer Communications Equipment,3434860,87004dd1-250b-466b-a753-5f8acc4e3254,1,973,Gold,053103637
91,758-601-2311,Invesco Value Municipal Income Trust,n/a,6887117,bd652432-04a4-4ab6-be6c-558aae283bfc,1,843,Bronze,107006156
92,257-925-4142,"Mohawk Industries, Inc.",Home Furnishings,52833050,6bb8e1ed-fe48-444b-b2ea-f0356496e4d1,1,491,Platinum,041203374
93,532-281-5417,Blackrock Municipal Income Quality Trust,n/a,40282738,f376a898-658f-494a-9bdf-6d3d0cf19224,17,184,Gold,022309239
94,830-959-9773,"Skyworks Solutions, Inc.",Semiconductors,54349438,122df297-51f5-4d48-a960-4333d1887b0d,2,442,Gold,122487307
95,908-674-5811,"Alteryx, Inc.",Computer Software: Prepackaged Software,23958728,aeaabf82-7051-470b-aad2-4947c6bb822f,20,341,Silver,104105733
96,586-224-1771,Ares Capital Corporation,n/a,68621309,14605755-9b5a-4da8-a929-b6ce27ae538e,10,743,Silver,075012683
97,208-675-4611,"Team, Inc.",Other Consumer Services,92225412,2078aab9-f5eb-492d-8633-31ca25d92a58,3,738,Bronze,101107860
98,442-322-5470,Legg Mason Developed EX-US Diversified Core ETF,n/a,57391260,8ade9cd6-83e3-487d-906a-8b52ebd82548,7,697,Bronze,053111920
99,925-678-8826,"CACI International, Inc.",EDP Services,15904914,f9389232-35bc-43bd-82c7-72ecd4784bf3,4,56,Silver,121000853
100,339-633-6823,"World Wrestling Entertainment, Inc.",Movies/Entertainment,37880102,ff03b274-2880-4986-87c3-d60386866f77,18,579,Platinum,064207771
101,204-574-9940,RiceBran Technologies,Packaged Foods,78424592,c0f403b5-b6a3-499b-a8c9-11f1cc934fb8,20,51,Silver,071926320
102,757-929-8972,The Goodyear Tire & Rubber Company,Automotive Aftermarket,10473512,c4b42f37-2118-435c-817f-fd22494a8b31,15,369,Silver,111320899
103,128-578-3243,Dynegy Inc.,n/a,75066682,dc173502-002e-4494-8ed7-4f5119401680,8,396,Silver,322274792
104,106-291-8036,"Teladoc, Inc.",Medical/Nursing Services,36351391,9b50ff84-d624-4a6c-ad60-d49a623db8a7,17,369,Gold,082907862
105,429-834-0508,ENI S.p.A.,Oil & Gas Production,72535152,13e07d9d-14a4-4239-ade6-00cfeeee73c0,1,936,Gold,075900229
106,968-767-7419,"PRGX Global, Inc.",Diversified Commercial Services,74962458,8d20efe3-e0d0-4efc-9d21-ca020cf33700,13,297,Platinum,021306822
107,955-843-5154,Nuveen Diversified Dividend and Income Fund,n/a,95898232,1263548f-5e81-44bb-b8ea-9149d6d682e4,6,853,Bronze,325170699
108,996-113-9209,"Kite Pharma, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),60148649,fb3e679f-4342-4da1-bcaf-1a649a29f4ec,18,420,Gold,124300806
109,593-927-8788,"Boston Properties, Inc.",Real Estate Investment Trusts,75065243,959bd834-2e99-4e93-8272-99c3ee9a1a89,7,133,Silver,122240942
110,629-121-2546,International Paper Company,Paper,50588688,90f27a1c-31ce-4499-9bcc-c0f7e8c819cb,6,73,Bronze,083901100
111,305-965-1107,"GenMark Diagnostics, Inc.",Medical/Dental Instruments,22384086,e13d7ca9-b47b-4e01-92e6-be79bf86ea2f,15,955,Platinum,103000619
112,123-863-8383,VictoryShares Developed Enhanced Volatility Wtd ETF,n/a,47817937,dfc0151c-cb91-4627-89f2-45b24c8ef91e,7,160,Gold,075001322
113,730-951-1430,Coca-Cola Company (The),Beverages (Production/Distribution),30201184,79c4364c-d16a-49c3-9afe-2ebda15f109d,18,531,Platinum,053111988
114,689-359-5107,Bank of Marin Bancorp,Major Banks,79723979,addd792b-dbdb-466b-a0f9-30d5f6f592b0,12,483,Bronze,221271090
115,320-698-8496,Opus Bank,n/a,97293259,e66d3555-fc01-425f-8120-a4ed1e7c35c4,19,401,Gold,062201847
116,243-498-6745,National Research Corporation,Biotechnology: Commercial Physical & Biological Resarch,20280218,da1c34ed-9c45-4e5a-98c2-225bede0c70f,18,794,Silver,322283835
117,214-914-5761,"Leggett & Platt, Incorporated",Home Furnishings,87819678,7c2a234b-1c13-4f98-9121-74ef0564522c,18,952,Bronze,292970744
118,555-876-0313,Nuveenn Intermediate Duration Quality Municipal Term Fund,n/a,48907050,b56250a2-2077-4a37-97da-385472d2fd1c,12,768,Platinum,011110701
119,775-869-2737,Equity Commonwealth,n/a,38352974,74f2e4d2-85cf-4848-ba0b-aab9906c2754,15,806,Bronze,102101700
120,769-478-5655,Forum Merger Corporation,Business Services,83088621,e1e1767c-8255-4172-8e32-a632e5a0cde8,16,788,Silver,231270793
121,228-276-4473,Boulevard Acquisition Corp. II,Business Services,18196997,ec58cf64-15c1-40a8-b14d-aefd77d0fd54,18,979,Platinum,061101113
122,618-927-7219,"Varian Medical Systems, Inc.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,5528177,c7947475-f28f-4c29-a559-702fdf9e775f,2,917,Platinum,263170175
123,431-800-6422,"HSN, Inc.",Other Specialty Stores,57337095,2493dc06-5ed1-4162-9d33-50589a0e5762,15,512,Gold,091904872
124,806-338-8762,The Health and Fitness ETF,n/a,18577474,40abb262-5d57-4098-baf6-52a0e95fceb2,17,806,Gold,021404465
125,964-560-4053,Salient Midstream & MLP Fund,n/a,13399329,ff9675ca-356c-4357-aad1-b3fd9ff50bfa,6,600,Bronze,042100175
126,650-181-2774,ECA Marcellus Trust I,Oil & Gas Production,72514070,afab851c-8731-4108-9459-d44465a28d32,18,562,Silver,081004517
127,612-453-6514,"Stage Stores, Inc.",Clothing/Shoe/Accessory Stores,40653081,5a78303c-853c-4dbe-81ad-8e06290aef48,11,336,Bronze,075904238
128,859-699-7493,"Pinnacle Foods, Inc.",Packaged Foods,61637609,776e506e-fcc0-4d0a-a2a3-e1888046f316,15,233,Bronze,021272626
129,316-253-3547,Caesarstone Ltd.,Building Materials,81724618,d33ef7a0-86f3-4eb7-b600-003c223fd244,1,778,Platinum,011300142
130,860-695-0242,"Universal Forest Products, Inc.",Forest Products,73709876,bef9d7ff-4e08-4aae-92f0-2b8126050273,6,44,Bronze,042107424
131,275-245-5453,"J. W. Mays, Inc.",Building operators,19963419,796f6188-688c-42cf-a7a6-8b74bdd70c2e,1,209,Platinum,031305596
132,426-921-9503,VictoryShares US 500 Volatility Wtd ETF,n/a,27209728,0428e98e-4b73-403d-b9bd-fcef55755fb7,11,592,Gold,274970791
133,224-950-1582,Genie Energy Ltd.,n/a,89838362,3391f2c2-3c43-42fb-aa67-6f6287f5a18d,6,205,Platinum,101104795
134,900-227-3986,Babcock,Building Products,49185180,8c97c4fb-1231-429e-b92a-c6d182267879,8,896,Gold,071002053
135,473-998-4519,EchoStar Corporation,Radio And Television Broadcasting And Communications Equipment,56507929,3dd6476e-f66e-4b21-a7b0-80d3be068367,9,632,Platinum,075907947
136,606-578-1045,"Verastem, Inc.",Major Pharmaceuticals,95621252,ab3fea0e-82fd-4714-9acd-54b52256cfb2,18,559,Gold,053012087
137,860-841-0286,"HopFed Bancorp, Inc.",Major Banks,72618312,19a7d884-058c-4a03-8948-cac74cd9ed8b,14,956,Silver,071100706
138,587-266-6669,Genie Energy Ltd.,Power Generation,60437184,3584cb6d-fa87-4f44-ae92-c39577e64026,7,56,Gold,271070788
139,231-550-0137,Hudbay Minerals Inc.,Precious Metals,18276919,fee2bc96-3b22-43b0-997f-c347857818b3,11,886,Silver,111915770
140,274-186-3206,Global X Yieldco Index ETF,n/a,54510827,1a2d48e9-213a-4b88-8736-c4dc3f07a4ce,15,841,Platinum,111916180
141,687-323-7354,Matthews International Corporation,Metal Fabrications,73052339,d57158ba-1428-44f0-a857-28562126eb99,4,692,Bronze,271070801
142,560-962-1312,Ceragon Networks Ltd.,Radio And Television Broadcasting And Communications Equipment,59429809,5ae804f6-cb81-47b1-9d81-a6f47f6a0692,9,821,Gold,274970843
143,371-468-2771,"Alder BioPharmaceuticals, Inc.",Major Pharmaceuticals,61885433,8e513286-8610-48b4-ab1a-33f5db963401,17,244,Platinum,121141042
144,427-596-5392,"AcelRx Pharmaceuticals, Inc.",Major Pharmaceuticals,79578273,7771df4a-c75a-402a-9a75-ac1f90287fa3,1,271,Gold,063106268
145,381-141-7862,BioMarin Pharmaceutical Inc.,Major Pharmaceuticals,65913031,89ab9d16-3d97-456e-bf89-72db7c06d34b,9,446,Bronze,107006347
146,199-423-6145,"Prudential Short Duration High Yield Fund, Inc.",n/a,80919748,1026cd5c-308b-4aef-a2ca-7e29dba19fd3,10,633,Platinum,325170835
147,228-815-3521,Novanta Inc.,Industrial Machinery/Components,42282962,847a26ae-1d4b-4229-a198-5ad58c29de30,10,79,Gold,065401000
148,244-529-0816,"Endurance International Group Holdings, Inc.",Computer Software: Prepackaged Software,12123702,4965a7cc-e1d4-4e28-8f6f-cd3c424d859a,5,561,Bronze,103000240
149,401-812-8141,"Group 1 Automotive, Inc.",Automotive Aftermarket,20453023,252a5604-3b80-43a0-8844-a6669149cd70,18,106,Platinum,101904911
150,945-508-8507,"USA Compression Partners, LP",Natural Gas Distribution,20318044,6e8c8020-d420-47bf-8c6f-ac72676f0b5f,13,960,Gold,111303117
151,481-398-9867,iShares S&P Global Timber & Forestry Index Fund,n/a,97050777,9689f0c2-09e6-4e38-8f97-b2f06c0a3892,3,748,Platinum,071923543
152,359-648-0638,"Aerie Pharmaceuticals, Inc.",Biotechnology: Biological Products (No Diagnostic Substances),76580641,6c4c0e14-d3df-474a-bc7b-8a4406b7272e,8,224,Gold,051503938
153,153-573-7126,"AG Mortgage Investment Trust, Inc.",n/a,2515949,ab20ff7a-2de6-4e67-8920-63e1a7734a0b,12,375,Silver,122239775
154,129-869-0591,Monroe Capital Corporation,n/a,79370134,c7c96d31-35b8-450a-aa1a-b54628bc9a28,4,497,Bronze,122240104
155,109-792-0641,Tennant Company,Industrial Machinery/Components,23388366,ea076ee5-21ba-4cd2-b4c3-7065d887f87a,1,611,Platinum,091200738
156,278-854-7805,TechnipFMC plc,Metal Fabrications,27906274,6858bf9e-359a-4c47-96d8-03b21c2f1473,10,90,Silver,111916452
157,340-194-2071,"Banco Santander, S.A.",n/a,82644725,42330530-b78e-4bde-b341-37b7581fb726,4,399,Gold,021310591
158,377-410-6722,Seneca Foods Corp.,Packaged Foods,99331900,1be74148-69fd-49e2-a038-410fd469a26c,2,348,Gold,261271115
159,961-583-8552,"Great Western Bancorp, Inc.",Major Banks,24928550,aadd20ac-4d21-495d-b9c6-3c66c722c313,17,307,Bronze,021308176
160,797-904-9339,"NextEra Energy, Inc.",n/a,38728704,ad578126-6434-457d-b549-63dd21e76de4,17,29,Gold,067092640
161,677-436-5447,"OneBeacon Insurance Group, Ltd.",Property-Casualty Insurers,8388481,1ebca963-aa2f-4014-96ec-715fbdd9fe79,3,884,Bronze,031902038
162,265-916-5616,DENTSPLY SIRONA Inc.,Medical/Dental Instruments,77765567,a0145915-eac7-42ad-9a63-a8a990510515,17,385,Silver,082908829
163,119-380-5571,First Trust Nasdaq Bank ETF,n/a,33684288,b99ab124-13a4-41ea-9e44-6d97e73cc6ec,15,250,Gold,075910882
164,936-949-3469,VictoryShares US 500 Enhanced Volatility Wtd ETF,n/a,55607187,a5135120-1595-48e7-89cf-1944e40e8dd2,16,172,Gold,231375575
165,759-485-2714,"BlackRock, Inc.",Investment Bankers/Brokers/Service,35993867,a0dc5b9d-2226-42f1-8c94-a1b47df14219,6,409,Platinum,082001881
166,649-300-4816,Liberty Global plc,Television Services,23576269,5f2152a5-d6a3-4e60-81cb-e449604702a9,19,558,Platinum,051502434
167,645-809-3158,"iRhythm Technologies, Inc.",Medical/Dental Instruments,84182728,58aec99e-6402-4286-a749-10448bd5ff8d,18,918,Bronze,092001208
168,726-832-9397,"Edge Therapeutics, Inc.",Major Pharmaceuticals,80005651,40564b7f-71a8-45c4-8f9b-0b63c5ab9f2c,13,20,Platinum,103105530
169,318-369-1389,"FleetCor Technologies, Inc.",Business Services,10531511,5cf70922-43e7-4ca9-82ef-80e7f6e23cd7,8,233,Silver,274970144
170,396-437-9176,State Street Corporation,Major Banks,59001663,6ae6a7f0-be08-4e61-8741-b1afd6b10d74,14,872,Platinum,062000116
171,400-682-5921,"WCF Bancorp, Inc.",Major Banks,90955446,c4844981-e610-4f35-8f6e-ad7af8ae96b0,3,579,Platinum,071923190
172,960-452-2059,Natural Resource Partners LP,Coal Mining,85007735,07b08fa2-587c-48fb-8dff-cd4811e0af7a,18,959,Gold,055003340
173,817-673-3603,Oxford Lane Capital Corp.,n/a,53684136,28c471d3-e2da-41c2-aaf9-445bafd23285,6,57,Bronze,122220506
174,131-387-4465,Graco Inc.,Fluid Controls,50467752,b1369b13-877d-4fcc-a452-c90065b43760,6,605,Gold,311972652
175,777-664-8527,Wells Fargo & Company,n/a,88985327,e047850f-0fff-4d7a-a9ae-3fa41a51605b,6,699,Platinum,074904187
176,536-896-1164,"New York & Company, Inc.",Clothing/Shoe/Accessory Stores,68646782,5bd6f22b-8e47-40e4-b414-58a26f4fca22,12,380,Gold,253184841
177,734-852-4300,Cadence Bancorporation,Major Banks,37883209,eb206cf8-3c12-4291-bf04-6aa4fe2402fa,7,423,Platinum,074903308
178,580-494-2332,Assured Guaranty Ltd.,n/a,28613078,3bd73445-71be-4a67-b229-5d5a588e1b4d,3,843,Gold,091300023
179,280-243-2210,Dynagas LNG Partners LP,n/a,12070545,dcafb799-82a0-48da-bc57-b4f7f98d6235,1,459,Bronze,064000017
180,110-300-9118,Kayne Anderson MLP Investment Company,n/a,53129670,202686eb-76ed-4740-b0ae-c56d7524f919,15,149,Gold,075911616
181,659-175-7185,iShares S&P India Nifty 50 Index Fund,n/a,93610135,963ff041-ef11-4c35-9d2c-069f093dab70,9,285,Silver,125104865
182,830-967-7179,Oasmia Pharmaceutical AB,Major Pharmaceuticals,10528372,ea628722-87e2-4238-8d66-e55f17a9a751,2,234,Platinum,071100010
183,550-522-5031,Liberty Media Corporation,Broadcasting,87422493,e0756f2f-2ad0-4287-97be-7b77b2998cf7,9,885,Platinum,063200928
