id,gen_type,gen_type_capacity,installation
232,gasoline,large,low
233,gasoline,low,medium
234,propane,large,medium
235,gasoline,large,low
236,diesel,large,high
237,gasoline,medium,high
238,propane,medium,medium
239,propane,low,low
240,diesel,large,high
241,propane,large,medium
242,diesel,large,low
243,gasoline,medium,high
244,gasoline,medium,high
245,propane,low,portable
246,propane,low,medium
247,gasoline,large,high
248,propane,large,portable
249,propane,medium,portable
250,diesel,medium,medium
251,propane,medium,medium
252,diesel,large,low
253,gasoline,low,low
254,diesel,large,high
255,diesel,medium,portable
256,gasoline,medium,medium
257,diesel,low,medium
258,propane,medium,low
259,diesel,medium,portable
260,propane,large,medium
261,propane,low,high
262,gasoline,large,low
263,gasoline,large,portable
264,diesel,medium,low
265,propane,medium,medium
266,diesel,medium,low
267,gasoline,medium,portable
268,gasoline,low,medium
269,propane,low,high
270,diesel,large,portable
271,propane,large,low
272,gasoline,large,low
273,diesel,medium,medium
274,gasoline,low,portable
275,diesel,medium,medium
276,gasoline,medium,low
277,diesel,medium,medium
278,gasoline,low,portable
279,gasoline,large,high
280,gasoline,large,medium
281,propane,medium,portable
282,diesel,low,medium
283,propane,low,high
284,propane,low,portable
285,propane,medium,high
286,diesel,low,medium
287,propane,low,portable
288,propane,medium,low
289,propane,low,high
290,propane,medium,low
291,diesel,large,low
292,gasoline,large,portable
293,propane,large,low
294,diesel,low,portable
295,diesel,medium,portable
296,diesel,large,medium
297,diesel,large,portable
298,diesel,medium,low
299,gasoline,large,high
300,gasoline,medium,medium
301,diesel,medium,portable
302,diesel,large,low
303,propane,low,high
304,diesel,medium,high
305,gasoline,medium,medium
306,diesel,large,high
307,diesel,low,portable
308,gasoline,large,high
309,propane,large,high
310,propane,large,medium
311,diesel,medium,high
312,propane,medium,low
313,gasoline,medium,medium
314,gasoline,medium,low
315,gasoline,low,high
316,gasoline,medium,medium
317,gasoline,medium,low
318,propane,large,medium
319,propane,low,low
320,diesel,medium,high
321,propane,large,high
322,diesel,large,medium
323,gasoline,medium,low
324,gasoline,medium,medium
325,gasoline,low,medium
326,gasoline,medium,portable
327,diesel,low,portable
328,diesel,medium,portable
329,gasoline,large,medium
330,gasoline,low,portable
331,diesel,medium,portable
332,propane,low,portable
333,diesel,medium,high
334,diesel,large,medium
335,gasoline,large,low
336,diesel,low,portable
337,gasoline,large,portable
338,diesel,large,low
339,propane,medium,low
340,propane,large,low
341,gasoline,medium,medium
342,diesel,low,portable
343,gasoline,medium,medium
344,propane,large,high
345,propane,low,medium
346,diesel,low,medium
347,diesel,large,high
348,propane,large,medium
349,diesel,large,portable
350,diesel,large,portable
351,gasoline,medium,medium
352,propane,large,high
353,propane,medium,low
354,diesel,large,low
355,gasoline,large,portable
356,gasoline,low,portable
357,gasoline,low,portable
358,gasoline,large,medium
359,propane,medium,medium
360,propane,large,medium
361,gasoline,large,portable
362,propane,medium,high
363,propane,medium,high
364,gasoline,low,portable
365,propane,medium,high
366,propane,large,low
367,propane,medium,high
368,gasoline,large,low
369,gasoline,low,portable
370,propane,low,medium
371,gasoline,low,portable
372,gasoline,medium,high
373,propane,low,portable
374,gasoline,low,high
375,diesel,large,low
376,gasoline,low,high
377,propane,medium,medium
378,gasoline,low,high
379,propane,large,medium
380,gasoline,large,medium
381,propane,medium,portable
382,gasoline,large,low
383,gasoline,medium,low
384,gasoline,large,high
385,gasoline,medium,portable
386,gasoline,large,low
387,gasoline,large,low
388,propane,medium,portable
389,propane,medium,medium
390,propane,medium,medium
391,gasoline,low,portable
392,gasoline,large,high
393,propane,medium,low
394,diesel,large,portable
395,diesel,low,high
396,propane,medium,medium
397,gasoline,low,medium
398,gasoline,low,portable
399,diesel,low,low
400,gasoline,large,high
401,diesel,low,portable
402,gasoline,medium,medium
403,propane,low,medium
404,diesel,low,medium
405,gasoline,medium,low
406,propane,medium,low
407,propane,low,medium
408,diesel,medium,low
409,diesel,large,medium
410,diesel,medium,low
411,diesel,medium,low
412,diesel,medium,high
413,diesel,large,portable
414,gasoline,low,high
415,gasoline,large,high
416,diesel,low,medium
417,diesel,large,portable
418,gasoline,large,low
419,gasoline,medium,medium
420,gasoline,medium,medium
421,propane,large,portable
422,gasoline,medium,low
423,propane,low,medium
424,gasoline,large,medium
425,propane,medium,low
426,propane,large,high
427,diesel,large,low
428,gasoline,low,low
429,gasoline,large,high
430,diesel,large,medium
431,gasoline,medium,portable
432,propane,low,medium
433,propane,low,medium
434,diesel,low,high
435,diesel,medium,medium
436,gasoline,low,low
437,propane,medium,portable
438,gasoline,large,high
439,diesel,low,medium
440,propane,medium,high
441,diesel,medium,low
442,gasoline,medium,high
443,gasoline,large,low
444,gasoline,medium,high
445,gasoline,low,high
446,propane,large,medium
447,diesel,large,high
448,gasoline,large,medium
449,diesel,low,high
450,gasoline,low,medium
451,diesel,large,portable
452,diesel,large,high
453,propane,large,medium
454,diesel,medium,high
455,gasoline,medium,medium
456,diesel,large,high
457,diesel,low,medium
458,diesel,medium,high
459,propane,large,medium
460,diesel,large,low
461,gasoline,medium,high
462,diesel,large,medium
463,propane,low,medium
464,diesel,medium,low
465,gasoline,low,portable
466,gasoline,medium,portable
467,propane,large,portable
468,propane,medium,medium
469,diesel,large,low
470,diesel,medium,high
471,gasoline,low,high
472,diesel,low,portable
473,diesel,medium,medium
474,propane,large,medium
475,diesel,medium,portable
476,gasoline,large,portable
477,diesel,medium,low
478,propane,low,low
479,gasoline,low,low
480,diesel,medium,low
481,gasoline,large,high
482,gasoline,low,portable
483,propane,large,portable
484,propane,medium,low
485,diesel,large,high
486,gasoline,medium,low
487,diesel,large,low
488,diesel,medium,low
489,gasoline,medium,portable
490,diesel,low,medium
491,gasoline,low,portable
492,propane,low,portable
493,diesel,medium,portable
494,diesel,large,medium
495,diesel,large,medium
496,diesel,low,medium
497,gasoline,medium,high
498,diesel,low,portable
499,diesel,low,low
500,diesel,low,portable
501,diesel,large,low
502,propane,medium,high
503,diesel,medium,medium
504,propane,medium,low
505,propane,large,portable
506,diesel,medium,portable
507,gasoline,medium,medium
508,diesel,medium,high
509,diesel,large,portable
510,diesel,low,portable
511,gasoline,large,high
512,propane,low,portable
513,propane,low,medium
514,diesel,medium,high
515,gasoline,low,high
516,diesel,large,portable
517,diesel,large,portable
518,propane,low,portable
519,gasoline,large,low
520,propane,low,medium
521,diesel,medium,low
522,gasoline,large,portable
523,propane,large,high
524,diesel,low,medium
525,gasoline,large,medium
526,diesel,low,portable
527,propane,large,high
528,diesel,low,low
529,propane,low,medium
530,gasoline,medium,low
531,propane,medium,high
532,diesel,medium,medium
533,diesel,low,low
534,diesel,large,medium
535,diesel,large,medium
536,propane,large,medium
537,propane,medium,medium
538,propane,large,low
539,propane,low,medium
540,diesel,medium,medium
541,diesel,large,portable
542,gasoline,low,portable
543,propane,medium,medium
544,gasoline,low,medium
545,gasoline,large,medium
546,gasoline,medium,high
547,diesel,low,high
548,propane,low,portable
549,gasoline,medium,high
550,gasoline,medium,portable
551,gasoline,low,portable
552,diesel,large,medium
553,diesel,low,medium
554,gasoline,low,portable
555,propane,medium,medium
556,diesel,low,portable
557,diesel,medium,high
558,propane,medium,low
559,gasoline,medium,low
560,propane,low,medium
561,diesel,large,medium
562,gasoline,low,high
563,gasoline,large,low
564,diesel,medium,portable
565,propane,medium,high
566,diesel,large,high
567,propane,medium,medium
568,propane,low,high
569,propane,medium,medium
570,propane,medium,low
571,propane,large,high
572,diesel,large,high
573,diesel,large,high
574,propane,large,low
575,propane,medium,high
576,gasoline,low,low
577,diesel,low,medium
578,diesel,low,portable
579,gasoline,large,medium
580,diesel,large,medium
581,gasoline,medium,portable
582,propane,medium,low
583,gasoline,large,low
584,diesel,large,low
585,gasoline,large,portable
586,propane,medium,medium
587,propane,medium,high
588,gasoline,large,high
589,diesel,medium,low
590,propane,low,high
591,propane,large,medium
592,diesel,large,medium
593,propane,large,medium
594,gasoline,large,low
595,gasoline,large,high
596,propane,low,portable
597,gasoline,large,low
598,diesel,large,portable
599,diesel,large,low
600,gasoline,medium,portable
601,diesel,medium,low
602,gasoline,large,portable
603,gasoline,medium,high
604,diesel,large,medium
605,propane,large,medium
606,gasoline,low,low
607,gasoline,low,low
608,diesel,medium,medium
609,gasoline,large,portable
610,propane,medium,high
611,diesel,low,medium
612,propane,large,medium
613,diesel,low,medium
614,gasoline,large,portable
615,propane,medium,medium
616,diesel,large,high
617,diesel,low,high
618,propane,low,medium
619,diesel,medium,portable
620,propane,low,medium
621,propane,low,high
622,diesel,large,high
623,propane,medium,low
624,gasoline,low,high
625,propane,medium,medium
626,gasoline,low,low
627,gasoline,large,high
628,diesel,medium,low
629,diesel,low,high
630,gasoline,large,medium
631,propane,low,portable
632,gasoline,low,low
633,gasoline,medium,low
634,diesel,large,high
635,diesel,medium,low
636,propane,low,low
637,gasoline,large,portable
638,diesel,medium,high
639,gasoline,medium,portable
640,diesel,low,high
641,propane,low,high
642,gasoline,medium,portable
643,gasoline,large,portable
644,propane,low,high
645,gasoline,large,high
646,propane,low,low
647,gasoline,low,high
648,gasoline,medium,high
649,gasoline,low,portable
650,propane,low,medium
651,propane,large,medium
652,propane,large,high
653,gasoline,large,portable
654,propane,large,low
655,propane,medium,portable
656,propane,medium,medium
657,propane,medium,medium
658,propane,low,portable
659,propane,large,low
660,gasoline,medium,medium
661,gasoline,low,low
662,diesel,large,portable
663,propane,large,low
664,diesel,low,medium
665,gasoline,medium,high
666,propane,large,medium
667,propane,low,medium
668,diesel,large,portable
669,propane,large,high
670,propane,large,low
671,diesel,low,portable
672,gasoline,large,portable
673,diesel,large,high
674,gasoline,large,low
675,propane,large,low
676,propane,large,portable
677,diesel,medium,medium
678,diesel,medium,portable
679,gasoline,medium,portable
680,gasoline,low,portable
681,gasoline,low,high
682,gasoline,medium,high
683,gasoline,large,high
684,diesel,low,low
685,diesel,large,high
686,propane,low,high
687,diesel,medium,portable
688,diesel,medium,low
689,diesel,medium,medium
690,diesel,medium,medium
691,gasoline,medium,high
692,diesel,large,medium
693,gasoline,large,medium
694,diesel,medium,medium
695,propane,low,high
696,propane,low,low
697,diesel,medium,portable
698,diesel,low,portable
699,propane,large,portable
700,propane,large,high
701,gasoline,low,medium
702,propane,low,high
703,propane,low,medium
704,diesel,medium,medium
705,diesel,low,low
706,gasoline,low,low
707,gasoline,low,low
708,diesel,low,portable
709,gasoline,low,high
710,propane,large,portable
711,diesel,low,low
712,propane,large,high
713,gasoline,large,medium
714,propane,low,high
715,propane,medium,high
716,propane,low,medium
717,diesel,medium,high
718,gasoline,low,medium
719,diesel,medium,portable
720,diesel,medium,low
721,diesel,low,low
722,diesel,medium,portable
723,propane,low,portable
724,propane,medium,high
725,diesel,low,high
726,propane,large,high
727,propane,low,low
728,diesel,low,medium
729,gasoline,large,high
730,propane,medium,low
731,gasoline,medium,portable
732,diesel,medium,low
733,gasoline,medium,low
734,gasoline,low,medium
735,diesel,medium,medium
736,diesel,low,portable
737,diesel,large,low
738,propane,large,high
739,gasoline,large,low
740,gasoline,medium,portable
741,gasoline,large,high
742,diesel,medium,portable
743,gasoline,low,low
744,gasoline,large,high
745,diesel,medium,medium
746,diesel,medium,low
747,propane,large,portable
748,diesel,low,medium
749,diesel,large,low
750,diesel,medium,portable
751,propane,medium,low
752,gasoline,low,portable
753,propane,medium,portable
754,gasoline,large,portable
755,diesel,low,low
756,propane,medium,high
757,diesel,medium,high
758,gasoline,low,low
759,gasoline,medium,high
760,diesel,medium,portable
761,gasoline,large,portable
762,diesel,low,portable
763,gasoline,medium,medium
764,diesel,medium,portable
765,gasoline,low,low
766,propane,medium,high
767,diesel,medium,low
768,propane,medium,portable
769,diesel,large,portable
770,diesel,medium,medium
771,propane,medium,portable
772,gasoline,large,high
773,gasoline,low,portable
774,propane,low,medium
775,propane,low,portable
776,propane,low,medium
777,propane,medium,high
778,gasoline,medium,portable
779,propane,low,low
780,gasoline,large,low
781,propane,large,high
782,propane,large,low
783,propane,medium,medium
784,gasoline,low,low
785,diesel,low,portable
786,gasoline,large,high
787,gasoline,medium,low
788,gasoline,large,portable
789,gasoline,low,low
790,diesel,medium,medium
791,diesel,medium,low
792,gasoline,large,medium
793,gasoline,low,low
794,diesel,low,high
795,diesel,low,low
796,diesel,medium,portable
797,diesel,low,high
798,gasoline,low,portable
799,gasoline,low,portable
800,propane,low,medium
801,diesel,large,medium
802,gasoline,large,high
803,gasoline,large,portable
804,diesel,low,medium
805,propane,low,low
806,propane,large,high
807,propane,large,high
808,propane,low,low
809,propane,medium,low
810,diesel,medium,low
811,propane,medium,high
812,gasoline,large,portable
813,gasoline,medium,medium
814,diesel,medium,low
815,diesel,large,high
816,diesel,medium,low
817,gasoline,low,high
818,propane,low,medium
819,gasoline,large,high
820,gasoline,large,medium
821,gasoline,large,portable
822,gasoline,low,portable
823,gasoline,medium,portable
824,diesel,low,medium
825,diesel,low,low
826,diesel,large,high
827,propane,medium,portable
828,propane,medium,low
829,gasoline,medium,medium
830,diesel,large,portable
831,propane,low,portable
832,propane,medium,low
833,diesel,low,low
834,propane,low,portable
835,diesel,large,portable
836,gasoline,low,low
837,propane,medium,low
838,gasoline,low,medium
839,propane,low,low
840,propane,medium,low
841,diesel,large,portable
842,gasoline,medium,medium
843,propane,medium,portable
844,propane,medium,high
845,gasoline,large,portable
846,diesel,low,high
847,propane,large,medium
848,propane,medium,low
849,diesel,medium,medium
850,propane,large,medium
851,diesel,low,medium
852,diesel,low,medium
853,gasoline,low,medium
854,propane,low,medium
855,propane,medium,low
856,propane,large,medium
857,gasoline,large,portable
858,gasoline,low,medium
859,diesel,medium,medium
860,diesel,medium,portable
861,propane,medium,low
862,gasoline,medium,medium
863,propane,low,portable
864,propane,large,portable
865,propane,medium,low
866,diesel,medium,portable
867,diesel,medium,medium
868,gasoline,low,medium
869,propane,low,high
870,gasoline,medium,high
871,propane,large,low
872,diesel,low,portable
873,gasoline,low,high
874,propane,medium,high
875,gasoline,medium,high
876,gasoline,large,high
877,propane,low,portable
878,propane,large,high
879,propane,medium,high
880,gasoline,low,portable
881,gasoline,medium,high
882,gasoline,low,high
883,gasoline,low,portable
884,gasoline,large,medium
885,propane,low,portable
886,propane,low,high
887,gasoline,low,high
888,gasoline,large,medium
889,gasoline,low,high
890,gasoline,low,portable
891,propane,medium,high
892,diesel,low,high
893,diesel,low,high
894,propane,medium,low
895,diesel,low,high
896,diesel,large,low
897,gasoline,medium,low
898,gasoline,low,medium
899,diesel,medium,portable
900,propane,large,medium
901,gasoline,medium,high
902,gasoline,low,high
903,gasoline,low,medium
904,propane,medium,high
905,gasoline,medium,portable
906,diesel,large,portable
907,propane,low,low
908,propane,large,medium
909,propane,low,medium
910,diesel,low,high
911,propane,large,portable
912,diesel,low,portable
913,diesel,low,medium
914,gasoline,low,medium
915,diesel,low,high
916,propane,low,low
917,gasoline,large,low
918,propane,low,high
919,diesel,large,low
920,diesel,low,medium
921,diesel,medium,medium
922,diesel,low,medium
923,gasoline,low,medium
924,propane,large,high
925,diesel,medium,medium
926,gasoline,medium,high
927,diesel,low,portable
928,diesel,medium,medium
929,gasoline,low,medium
930,propane,large,low
931,gasoline,medium,portable
932,gasoline,large,medium
933,gasoline,low,portable
934,gasoline,low,low
935,gasoline,medium,high
936,gasoline,low,high
937,diesel,low,high
938,diesel,large,portable
939,propane,low,medium
940,diesel,low,high
941,diesel,low,low
942,diesel,low,medium
943,diesel,large,medium
944,diesel,medium,high
945,diesel,low,low
946,gasoline,low,high
947,propane,medium,medium
948,diesel,medium,medium
949,gasoline,medium,high
950,propane,medium,portable
951,diesel,low,high
952,propane,large,portable
953,gasoline,large,low
954,gasoline,low,portable
955,propane,low,high
956,diesel,low,high
957,diesel,low,portable
958,gasoline,medium,high
959,diesel,low,medium
960,propane,large,medium
961,gasoline,low,low
962,diesel,large,high
963,diesel,large,high
964,diesel,low,medium
965,propane,low,high
966,propane,large,portable
967,diesel,medium,high
968,propane,large,medium
969,gasoline,medium,medium
970,propane,medium,low
971,diesel,low,high
972,diesel,large,high
973,gasoline,medium,high
974,propane,medium,high
975,gasoline,low,low
976,propane,medium,high
977,gasoline,large,medium
978,gasoline,medium,low
979,gasoline,large,low
980,gasoline,medium,low
981,propane,medium,high
982,gasoline,low,medium
983,gasoline,large,portable
984,gasoline,medium,medium
985,diesel,medium,medium
986,gasoline,medium,medium
987,gasoline,medium,high
988,propane,low,portable
989,gasoline,large,portable
990,gasoline,low,medium
991,gasoline,large,medium
992,diesel,medium,low
993,diesel,medium,high
994,diesel,low,high
995,diesel,large,portable
996,diesel,large,portable
997,diesel,low,high
998,propane,medium,portable
999,propane,large,high
1000,propane,medium,high
